date,SKU,qty,price_per_unit,tavg,prcp,tsun,sale_active,sale_percent,mmdd,day_of_week,month,is_holiday
2024-06-23,9101dx,0.0,1295.2285826771654,18.1,0.0,342.0,False,0.0,06-23,6,6,False
2024-06-24,9101dx,0.0,1295.2285826771654,21.4,0.0,780.0,False,0.0,06-24,0,6,False
2024-06-25,9101dx,0.0,1295.2285826771654,22.5,0.0,912.0,False,0.0,06-25,1,6,False
2024-06-26,9101dx,0.0,1295.2285826771654,21.0,1.7,468.0,False,0.0,06-26,2,6,False
2024-06-27,9101dx,0.0,1295.2285826771654,23.3,0.0,534.0,False,0.0,06-27,3,6,False
2024-06-28,9101dx,0.0,1295.2285826771654,23.3,8.5,582.0,False,0.0,06-28,4,6,False
2024-06-29,9101dx,0.0,1295.2285826771654,25.9,1.3,558.0,False,0.0,06-29,5,6,False
2024-06-30,9101dx,1.0,1232.14,18.6,4.3,0.0,False,0.0,06-30,6,6,False
2024-07-01,9101dx,0.0,1295.2285826771654,16.6,0.8,150.0,True,0.1,07-01,0,7,False
2024-07-02,9101dx,0.0,1295.2285826771654,15.2,5.9,54.0,True,0.1,07-02,1,7,False
2024-07-03,9101dx,0.0,1295.2285826771654,13.6,21.2,36.0,True,0.1,07-03,2,7,False
2024-07-04,9101dx,1.0,1304.62,16.4,1.5,198.0,True,0.1,07-04,3,7,False
2024-07-05,9101dx,0.0,1295.2285826771654,19.1,0.0,630.0,True,0.1,07-05,4,7,False
2024-07-06,9101dx,0.0,1295.2285826771654,18.6,5.4,234.0,True,0.1,07-06,5,7,False
2024-07-07,9101dx,0.0,1295.2285826771654,16.9,0.0,330.0,True,0.1,07-07,6,7,False
2024-07-08,9101dx,1.0,1293.75,20.5,0.0,864.0,True,0.1,07-08,0,7,False
2024-07-09,9101dx,0.0,1295.2285826771654,25.1,4.9,876.0,True,0.1,07-09,1,7,False
2024-07-10,9101dx,0.0,1295.2285826771654,22.1,4.0,174.0,True,0.1,07-10,2,7,False
2024-07-11,9101dx,0.0,1295.2285826771654,21.8,9.2,366.0,True,0.1,07-11,3,7,False
2024-07-12,9101dx,0.0,1295.2285826771654,20.5,6.6,120.0,True,0.1,07-12,4,7,False
2024-07-13,9101dx,0.0,1295.2285826771654,17.9,0.0,492.0,True,0.1,07-13,5,7,False
2024-07-14,9101dx,0.0,1295.2285826771654,19.5,0.0,552.0,True,0.1,07-14,6,7,False
2024-07-15,9101dx,0.0,1295.2285826771654,22.8,1.9,726.0,True,0.1,07-15,0,7,False
2024-07-16,9101dx,0.0,1295.2285826771654,21.2,0.0,474.0,True,0.1,07-16,1,7,False
2024-07-17,9101dx,0.0,1295.2285826771654,20.5,0.0,642.0,True,0.1,07-17,2,7,False
2024-07-18,9101dx,0.0,1295.2285826771654,22.2,0.0,780.0,True,0.1,07-18,3,7,False
2024-07-19,9101dx,1.0,1304.62,24.0,0.0,618.0,True,0.1,07-19,4,7,False
2024-07-20,9101dx,0.0,1295.2285826771654,24.5,0.2,642.0,True,0.1,07-20,5,7,False
2024-07-21,9101dx,0.0,1295.2285826771654,22.8,11.2,342.0,True,0.1,07-21,6,7,False
2024-07-22,9101dx,0.0,1295.2285826771654,21.8,0.5,510.0,True,0.1,07-22,0,7,False
2024-07-23,9101dx,0.0,1295.2285826771654,20.2,2.2,144.0,True,0.1,07-23,1,7,False
2024-07-24,9101dx,0.0,1295.2285826771654,18.2,0.0,322.0,True,0.1,07-24,2,7,False
2024-07-25,9101dx,0.0,1295.2285826771654,19.7,0.0,684.0,True,0.1,07-25,3,7,False
2024-07-26,9101dx,0.0,1295.2285826771654,21.6,0.0,318.0,True,0.1,07-26,4,7,False
2024-07-27,9101dx,0.0,1295.2285826771654,21.6,10.0,206.0,True,0.1,07-27,5,7,False
2024-07-28,9101dx,0.0,1295.2285826771654,19.1,0.0,610.0,True,0.1,07-28,6,7,False
2024-07-29,9101dx,0.0,1295.2285826771654,20.9,0.0,835.0,True,0.1,07-29,0,7,False
2024-07-30,9101dx,0.0,1295.2285826771654,24.3,0.0,733.0,True,0.1,07-30,1,7,False
2024-07-31,9101dx,0.0,1295.2285826771654,25.4,0.0,589.0,True,0.1,07-31,2,7,False
2024-08-01,9101dx,0.0,1295.2285826771654,22.0,5.2,246.0,True,0.15,08-01,3,8,False
2024-08-02,9101dx,0.0,1295.2285826771654,21.8,6.2,397.0,True,0.15,08-02,4,8,False
2024-08-03,9101dx,0.0,1295.2285826771654,20.9,0.0,326.0,True,0.15,08-03,5,8,False
2024-08-04,9101dx,0.0,1295.2285826771654,20.3,1.4,174.0,True,0.15,08-04,6,8,False
2024-08-05,9101dx,1.0,1406.25,20.6,0.0,452.0,True,0.15,08-05,0,8,False
2024-08-06,9101dx,0.0,1295.2285826771654,22.9,0.0,692.0,True,0.15,08-06,1,8,False
2024-08-07,9101dx,0.0,1295.2285826771654,22.9,0.7,332.0,True,0.15,08-07,2,8,False
2024-08-08,9101dx,0.0,1295.2285826771654,20.8,0.0,356.0,True,0.15,08-08,3,8,True
2024-08-09,9101dx,0.0,1295.2285826771654,22.3,0.0,496.0,True,0.15,08-09,4,8,False
2024-08-10,9101dx,0.0,1295.2285826771654,23.9,0.0,613.0,True,0.15,08-10,5,8,False
2024-08-11,9101dx,0.0,1295.2285826771654,24.6,0.0,759.0,True,0.15,08-11,6,8,False
2024-08-12,9101dx,0.0,1295.2285826771654,26.9,0.0,583.0,True,0.15,08-12,0,8,False
2024-08-13,9101dx,0.0,1295.2285826771654,26.6,0.0,627.0,True,0.15,08-13,1,8,False
2024-08-14,9101dx,0.0,1295.2285826771654,23.3,1.0,517.0,True,0.15,08-14,2,8,False
2024-08-15,9101dx,0.0,1295.2285826771654,23.1,0.0,708.0,True,0.15,08-15,3,8,True
2024-08-16,9101dx,0.0,1295.2285826771654,24.4,0.0,552.0,True,0.15,08-16,4,8,False
2024-08-17,9101dx,0.0,1295.2285826771654,23.7,14.9,564.0,True,0.15,08-17,5,8,False
2024-08-18,9101dx,0.0,1295.2285826771654,18.7,4.9,0.0,True,0.15,08-18,6,8,False
2024-08-19,9101dx,2.0,1232.14,18.3,0.0,432.0,True,0.15,08-19,0,8,False
2024-08-20,9101dx,0.0,1295.2285826771654,19.0,1.1,228.0,True,0.15,08-20,1,8,False
2024-08-21,9101dx,0.0,1295.2285826771654,18.2,0.3,504.0,True,0.15,08-21,2,8,False
2024-08-22,9101dx,0.0,1295.2285826771654,18.2,0.0,714.0,True,0.15,08-22,3,8,False
2024-08-23,9101dx,0.0,1295.2285826771654,21.6,0.0,744.0,True,0.15,08-23,4,8,False
2024-08-24,9101dx,0.0,1295.2285826771654,25.7,6.1,714.0,True,0.15,08-24,5,8,False
2024-08-25,9101dx,0.0,1295.2285826771654,18.0,0.0,402.0,True,0.15,08-25,6,8,False
2024-08-26,9101dx,0.0,1295.2285826771654,17.1,0.0,468.0,True,0.15,08-26,0,8,False
2024-08-27,9101dx,0.0,1295.2285826771654,20.0,0.0,696.0,True,0.15,08-27,1,8,False
2024-08-28,9101dx,0.0,1295.2285826771654,22.9,0.0,744.0,True,0.15,08-28,2,8,False
2024-08-29,9101dx,0.0,1295.2285826771654,25.0,0.0,624.0,True,0.15,08-29,3,8,False
2024-08-30,9101dx,0.0,1295.2285826771654,25.2,0.0,648.0,True,0.15,08-30,4,8,False
2024-08-31,9101dx,0.0,1295.2285826771654,24.6,0.0,672.0,True,0.15,08-31,5,8,False
2024-09-01,9101dx,0.0,1295.2285826771654,25.1,0.0,582.0,True,0.15,09-01,6,9,False
2024-09-02,9101dx,0.0,1295.2285826771654,22.5,0.0,96.0,True,0.15,09-02,0,9,False
2024-09-03,9101dx,0.0,1295.2285826771654,23.5,0.7,534.0,True,0.15,09-03,1,9,False
2024-09-04,9101dx,0.0,1295.2285826771654,20.6,2.4,240.0,True,0.15,09-04,2,9,False
2024-09-05,9101dx,0.0,1295.2285826771654,22.6,18.1,468.0,True,0.15,09-05,3,9,False
2024-09-06,9101dx,0.0,1295.2285826771654,19.1,0.0,294.0,True,0.15,09-06,4,9,False
2024-09-07,9101dx,0.0,1295.2285826771654,22.0,0.0,708.0,True,0.15,09-07,5,9,False
2024-09-08,9101dx,0.0,1295.2285826771654,18.0,15.3,54.0,True,0.15,09-08,6,9,False
2024-09-09,9101dx,0.0,1295.2285826771654,16.3,4.6,162.0,True,0.15,09-09,0,9,False
2024-09-10,9101dx,0.0,1295.2285826771654,15.6,0.3,186.0,True,0.15,09-10,1,9,False
2024-09-11,9101dx,1.0,1232.14,12.5,7.3,0.0,True,0.15,09-11,2,9,False
2024-09-12,9101dx,0.0,1295.2285826771654,9.9,10.5,198.0,True,0.15,09-12,3,9,False
2024-09-13,9101dx,0.0,1295.2285826771654,9.7,2.3,162.0,True,0.15,09-13,4,9,False
2024-09-14,9101dx,0.0,1295.2285826771654,11.0,0.0,168.0,True,0.15,09-14,5,9,False
2024-09-15,9101dx,0.0,1295.2285826771654,11.8,0.3,324.0,True,0.15,09-15,6,9,False
2024-09-16,9101dx,0.0,1295.2285826771654,11.6,4.1,0.0,True,0.15,09-16,0,9,False
2024-09-17,9101dx,0.0,1295.2285826771654,15.0,0.0,96.0,True,0.15,09-17,1,9,False
2024-09-18,9101dx,0.0,1295.2285826771654,17.6,0.0,648.0,True,0.15,09-18,2,9,False
2024-09-19,9101dx,0.0,1295.2285826771654,17.5,0.0,648.0,True,0.15,09-19,3,9,False
2024-09-20,9101dx,0.0,1295.2285826771654,16.7,0.0,678.0,True,0.15,09-20,4,9,False
2024-09-21,9101dx,0.0,1295.2285826771654,16.5,0.0,690.0,True,0.15,09-21,5,9,False
2024-09-22,9101dx,0.0,1295.2285826771654,17.0,0.0,528.0,True,0.15,09-22,6,9,False
2024-09-23,9101dx,0.0,1295.2285826771654,15.7,10.8,24.0,True,0.15,09-23,0,9,False
2024-09-24,9101dx,0.0,1295.2285826771654,15.3,0.2,156.0,True,0.15,09-24,1,9,False
2024-09-25,9101dx,0.0,1295.2285826771654,16.5,3.4,72.0,True,0.15,09-25,2,9,False
2024-09-26,9101dx,0.0,1295.2285826771654,15.7,4.0,0.0,True,0.15,09-26,3,9,False
2024-09-27,9101dx,0.0,1295.2285826771654,13.4,3.7,306.0,True,0.15,09-27,4,9,False
2024-09-28,9101dx,0.0,1295.2285826771654,10.5,0.5,216.0,True,0.15,09-28,5,9,False
2024-09-29,9101dx,0.0,1295.2285826771654,9.1,0.0,246.0,True,0.15,09-29,6,9,False
2024-09-30,9101dx,0.0,1295.2285826771654,13.0,0.7,84.0,True,0.15,09-30,0,9,False
2024-10-01,9101dx,0.0,1295.2285826771654,14.5,10.8,48.0,True,0.15,10-01,1,10,False
2024-10-02,9101dx,0.0,1295.2285826771654,11.5,1.3,156.0,True,0.15,10-02,2,10,False
2024-10-03,9101dx,0.0,1295.2285826771654,9.5,0.2,6.0,True,0.15,10-03,3,10,True
2024-10-04,9101dx,0.0,1295.2285826771654,10.0,0.3,6.0,True,0.15,10-04,4,10,False
2024-10-05,9101dx,0.0,1295.2285826771654,9.9,0.0,30.0,True,0.15,10-05,5,10,False
2024-10-06,9101dx,0.0,1295.2285826771654,9.8,1.6,336.0,True,0.15,10-06,6,10,False
2024-10-07,9101dx,0.0,1295.2285826771654,14.8,13.5,96.0,True,0.15,10-07,0,10,False
2024-10-08,9101dx,0.0,1295.2285826771654,14.4,13.2,0.0,True,0.15,10-08,1,10,False
2024-10-09,9101dx,0.0,1295.2285826771654,15.5,0.3,168.0,True,0.15,10-09,2,10,False
2024-10-10,9101dx,0.0,1295.2285826771654,14.7,3.1,60.0,True,0.15,10-10,3,10,False
2024-10-11,9101dx,0.0,1295.2285826771654,9.9,0.0,180.0,True,0.15,10-11,4,10,False
2024-10-12,9101dx,0.0,1295.2285826771654,10.5,1.8,294.0,True,0.15,10-12,5,10,False
2024-10-13,9101dx,0.0,1295.2285826771654,11.7,0.0,342.0,True,0.15,10-13,6,10,False
2024-10-14,9101dx,0.0,1295.2285826771654,9.7,7.7,60.0,True,0.15,10-14,0,10,False
2024-10-15,9101dx,0.0,1295.2285826771654,13.0,0.0,0.0,True,0.15,10-15,1,10,False
